"","(Intercept)","unemployed","notMarried","Discharge.Summary_ave3","ER.Report_bin","alcohol2yes","Immunomodulators_bin3","narcotics_bin3","psyche","unemployed:psyche"
"(Intercept)",0.0697828883652237,-0.0122687466781026,-0.0174064705306797,-0.000431601187184844,-0.0218579717372312,-0.0269522274434106,-0.0195898901826478,-0.0173839707639546,-0.0200157175218613,0.00728928838565891
"unemployed",-0.0122687466781026,0.0989222896928935,-0.0101760921364143,0.0071740954554463,-0.00975549220412029,0.00905446714705503,-0.00482503956147985,-0.0201361434484572,0.0332753286201599,-0.0988153915443633
"notMarried",-0.0174064705306797,-0.0101760921364143,0.0540107064340068,-0.000702174124474436,-0.010038161182944,-0.0142320836481001,0.00217475865822613,-0.003433210619778,-0.00152664427923445,0.0146432600330234
"Discharge.Summary_ave3",-0.000431601187184835,0.00717409545544631,-0.000702174124474449,0.0098710726600494,-0.0074240456281493,0.00312549223569452,-0.00395346117857784,-0.00702444570558726,0.00487504446537599,-0.0122480487693815
"ER.Report_bin",-0.0218579717372313,-0.00975549220412034,-0.010038161182944,-0.00742404562814933,0.0578526101129748,0.0115914546999815,0.00235661100628776,-0.00499835901536283,-0.00633882131238733,0.0169636084711765
"alcohol2yes",-0.0269522274434106,0.00905446714705503,-0.0142320836481001,0.00312549223569452,0.0115914546999815,0.0502680852375501,7.48724562296109e-05,0.0063534053753462,0.0179660409532613,-0.011603474464454
"Immunomodulators_bin3",-0.0195898901826479,-0.00482503956147983,0.0021747586582261,-0.00395346117857785,0.00235661100628777,7.48724562296232e-05,0.0476493457970817,0.00594352602675883,-0.0111112320318697,0.0159070093973431
"narcotics_bin3",-0.0173839707639545,-0.0201361434484572,-0.003433210619778,-0.00702444570558725,-0.0049983590153629,0.00635340537534618,0.0059435260267588,0.0627895513307604,-0.0206526574622591,0.0189550403959638
"psyche",-0.0200157175218614,0.0332753286201599,-0.00152664427923447,0.00487504446537599,-0.0063388213123873,0.0179660409532613,-0.0111112320318697,-0.0206526574622591,0.145926071603825,-0.147295049172809
"unemployed:psyche",0.00728928838565898,-0.0988153915443633,0.0146432600330234,-0.0122480487693814,0.0169636084711764,-0.011603474464454,0.0159070093973431,0.0189550403959638,-0.147295049172809,0.298343487191926
