"","(Intercept)","unemployed","tobaccoEver","family_hx","duration","colectomy_bin3","ER.Report_bin","Office.Visit_cat(1, Inf]","Telephone_cat[10, Inf]","eos_bin3","albumin_bin3","eos_bin3:albumin_bin3"
"(Intercept)",0.178610581150986,-0.044082356428403,-0.0148241047957462,-0.0309531137961377,-0.00141730110824112,-0.0167104843958936,0.00666326201169717,-0.121894474893423,0.00639298555113932,-0.0438321147873924,-0.0140835734267001,0.0285057187009327
"unemployed",-0.044082356428403,0.106738921804358,0.0190244115027091,-0.0115925165801392,0.000336056609612106,0.0105598861817175,0.0081607640341175,0.0105410438413858,0.0151647474350459,0.00250760252729493,-0.00701018274030063,0.0173404664959726
"tobaccoEver",-0.0148241047957462,0.0190244115027091,0.0578695982295075,0.00276302783291243,2.52239955792189e-06,0.00271902345920286,0.00619888213381754,-0.0161765049357897,0.0104810555826859,0.00278451586889064,-0.0135043375011553,0.0119549197610146
"family_hx",-0.0309531137961377,-0.0115925165801392,0.00276302783291241,0.0723743459293869,0.000307298603084661,0.00700544086897588,-0.00172517095706741,0.00903023015500736,-0.00746890094208255,0.00848203159432718,0.0109570303851657,-0.0220547958382265
"duration",-0.00141730110824113,0.000336056609612107,2.52239955792176e-06,0.00030729860308466,7.31553451731019e-05,0.000308747806828251,-0.000169756302170117,0.000363928916050398,-0.000249537297541333,-0.000146550026986127,-0.000113230537926172,0.000220350970127892
"colectomy_bin3",-0.0167104843958936,0.0105598861817175,0.00271902345920285,0.00700544086897588,0.000308747806828252,0.123021053129694,-0.0231973607786931,0.0091883757720796,-0.00715726481356908,0.00462840737638207,-0.0055568601587008,-0.0122666573404095
"ER.Report_bin",0.0066632620116972,0.00816076403411751,0.00619888213381754,-0.00172517095706741,-0.000169756302170117,-0.023197360778693,0.0630122932471368,-0.0235130128805643,-0.00835582206324473,-0.00803992695423873,-0.00123929401355411,-0.00594887324464855
"Office.Visit_cat(1, Inf]",-0.121894474893423,0.0105410438413857,-0.0161765049357897,0.00903023015500731,0.000363928916050393,0.00918837577207963,-0.0235130128805643,0.152841278702907,-0.0210550874915353,0.00792020900589787,-0.0154549319360942,0.00705551193813697
"Telephone_cat[10, Inf]",0.00639298555113927,0.0151647474350459,0.0104810555826859,-0.00746890094208253,-0.000249537297541332,-0.00715726481356908,-0.00835582206324476,-0.0210550874915352,0.0534587255399294,-0.0095877797464894,-0.011596993525154,0.00931166755892926
"eos_bin3",-0.0438321147873924,0.0025076025272949,0.0027845158688907,0.00848203159432719,-0.00014655002698613,0.00462840737638205,-0.00803992695423871,0.00792020900589776,-0.00958777974648938,0.108135435583685,0.0416312732697041,-0.106569012206559
"albumin_bin3",-0.0140835734267001,-0.00701018274030065,-0.0135043375011553,0.0109570303851657,-0.000113230537926172,-0.00555686015870083,-0.00123929401355409,-0.0154549319360943,-0.0115969935251541,0.0416312732697041,0.1106520601524,-0.113286803009258
"eos_bin3:albumin_bin3",0.0285057187009329,0.0173404664959726,0.0119549197610146,-0.0220547958382265,0.000220350970127893,-0.0122666573404094,-0.00594887324464858,0.0070555119381371,0.00931166755892925,-0.106569012206559,-0.113286803009258,0.253170003123043
